Phrases
ball
Chihuly
sponsorship
luncheon
gala
banquet
dinner
general support
general purpose
for charitable program activities support
for annual giving
general operating support
for operations
program support
general operations
for general operations
for general support
for program support
operating
For operating support
see attached
see attached.
unrestricted use
for annual support
general operating
program/project
charitable
operating support - program
unrestricted
for general operating
general purposes
provide operating support
for capital
unrestricted charitable gift
charitable program activities support
support
unrestricted general support
for general operating support
for unrestricted support
operational support
for the organization's charitable use
for operating support
general
for capital support
program/operating support
for membership
for membership dues
annual giving grant
organization
program development
for board discrfetionary grant
for international program support
organization
for operational support
for annual fund
for board participation
annual gift
general purposes
for general purposes
to support environmental projects
for branding
north texas giving day 2012
north texas giving day 2013
north texas giving day 2014
north texas giving day 2015
north texas giving day 2016
for capital fund/renovation
for program/project support
capital campaign
for discretionary
for discretionary grant
state recreational boating saftey program
environment
environmental
for environmental support
religion
for program
environment program
for environment program
for environment - program
conservation
conservation activities
for the benefit of animals
for strategic planning
environment
animal welfare
animal related
jewish causes
human services
for general unrestricted support
environment &amp; wildlife
sustaining support
unrestricted gift
specific project
for special program
for construction
for consulting
for technology
general funding
for general funding
to support general operations
(for general support)
for annual contribution
matching gift
matching gift $
for matching gift
company matching gifts
for charitable purposes only
environment and animals
environmental/animals
environment and animal welfare
for operations support
to provide general support
operating support
animals
health
for program and operating support
general use of the organization
charitable contribution
for general operating support or unrestricted support
for general operating/unrestricted support
various grants for project support
to further the organizations charitable objectives
var conserv proj
general operaung support
for environmental work
for organizational assessment
for support
this grant is for general support
this grant is for general support.
to provide general support.
